item_id	dimension	fit_mean	clarity_mean	decision	reason	net_degree	net_neighbors	net_neighbor_ratios	net_max_overlap	net_drop_partner	net_drop_ratio	net_threshold	net_denom_mode
IT07	Healthy Relationship Dynamics	4.909	4.727	Retain	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (4.73)	0			0.0			0.5	max
IT08	Healthy Relationship Dynamics	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT44	Healthy Relationship Dynamics	4.818	4.818	Drop	fit_mean≥4 (4.82), IQR≤1 (0.00), clarity≥4 (4.82); pairwise redundancy ≥0.50 vs IT03	1	IT03	IT03:0.82	0.818			0.5	max
IT17	Physical Violence & Intimidation	3.818	4.727	Retain	fallback to majority recommendation	1	IT43	IT43:1.18	1.182			0.5	max
IT38	Physical Violence & Intimidation	5.0	4.455	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.45)	0			0.0			0.5	max
IT40	Physical Violence & Intimidation	4.727	5.0	Retain	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (5.00)	0			0.0			0.5	max
IT43	Physical Violence & Intimidation	3.0	3.364	Drop	fit_mean=3.00 < 3.5	1	IT17	IT17:1.18	1.182			0.5	max
IT13	Psychological & Emotional Abuse	3.5	3.917	Drop	clarity_mean=3.92 < 4.0; pairwise redundancy ≥0.50 vs IT29	2	IT29,IT30	IT29:0.50|IT30:0.50	0.5			0.5	max
IT14	Psychological & Emotional Abuse	4.167	5.0	Retain	fit_mean≥4 (4.17), IQR≤1 (0.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT16	Psychological & Emotional Abuse	3.917	4.0	Retain	fallback to majority recommendation	0			0.0			0.5	max
IT18	Psychological & Emotional Abuse	3.667	4.5	Drop	fallback to majority recommendation; pairwise redundancy ≥0.50 vs IT28	1	IT28	IT28:1.08	1.083			0.5	max
IT27	Psychological & Emotional Abuse	4.25	4.75	Revise	fit_IQR=1.25 > 1.0	0			0.0			0.5	max
IT28	Psychological & Emotional Abuse	4.75	5.0	Retain	fit_mean≥4 (4.75), IQR≤1 (0.25), clarity≥4 (5.00)	1	IT18	IT18:1.08	1.083			0.5	max
IT29	Psychological & Emotional Abuse	5.0	4.917	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.92)	2	IT13,IT31	IT13:0.50|IT31:0.50	0.5			0.5	max
IT30	Psychological & Emotional Abuse	5.0	4.917	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.92)	1	IT13	IT13:0.50	0.5			0.5	max
IT31	Psychological & Emotional Abuse	4.833	4.833	Drop	fit_mean≥4 (4.83), IQR≤1 (0.00), clarity≥4 (4.83); pairwise redundancy ≥0.50 vs IT29	1	IT29	IT29:0.50	0.5			0.5	max
IT39	Psychological & Emotional Abuse	4.833	4.667	Retain	fit_mean≥4 (4.83), IQR≤1 (0.00), clarity≥4 (4.67)	0			0.0			0.5	max
IT41	Psychological & Emotional Abuse	4.833	5.0	Retain	fit_mean≥4 (4.83), IQR≤1 (0.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT32	Sexual Coercion & Violation	4.727	5.0	Retain	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (5.00)	0			0.0			0.5	max
IT42	Sexual Coercion & Violation	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT33	Threats & Blackmail	4.455	5.0	Retain	fit_mean≥4 (4.45), IQR≤1 (1.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT34	Threats & Blackmail	4.909	4.909	Retain	fit_mean≥4 (4.91), IQR≤1 (0.00), clarity≥4 (4.91)	0			0.0			0.5	max
IT35	Threats & Blackmail	5.0	5.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT36	Threats & Blackmail	4.545	5.0	Retain	fit_mean≥4 (4.55), IQR≤1 (1.00), clarity≥4 (5.00)	0			0.0			0.5	max
IT37	Threats & Blackmail	4.727	5.0	Retain	fit_mean≥4 (4.73), IQR≤1 (0.50), clarity≥4 (5.00)	0			0.0			0.5	max
