item_id	item_text	dimension	fit_mean	clarity_mean	fit_iqr	redundancy	decision	reason
IT27	In sua compagnia mi capita di sentirmi a disagio e ho la sensazione di dover stare attenta a ciò che dico o a ciò che faccio, come se dovessi “camminare sulle uova” per evitare sue reazioni negative	Manipolazione Emotiva, Gaslighting e Incertezza	5.0	5.0	0.0	0.222	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT28	Mi butta giù, mi insulta o mi critica	Abuso Emotivo e Psicologico (Svalutazione, Critica, Umiliazione)	5.0	5.0	0.0	0.222	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT29	Mi fa sentire spesso sbagliata e mi dice che è colpa mia se sta male	Abuso Emotivo e Psicologico (Svalutazione, Critica, Umiliazione)	4.889	4.889	0.0	0.333	Drop	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (4.89); redundant vs IT28
IT30	Mi dice che non valgo niente e resterei sola se non stessi con lui perché nessuno mi vorrebbe	Abuso Emotivo e Psicologico (Svalutazione, Critica, Umiliazione)	5.0	5.0	0.0	0.333	Drop	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00); redundant vs IT28
IT31	Ha mostrato mie immagini intime ad altre persone senza il mio consenso	Violenza Fisica, Minacce e Intimidazione	4.667	5.0	1.0	0.111	Retain	fit_mean≥4 (4.67), IQR≤1 (1.00), clarity≥4 (5.00)
IT32	Minaccia di mostrare ai miei amici o ai miei familiari mie immagini intime	Violenza Fisica, Minacce e Intimidazione	4.444	4.889	1.0	0.333	Drop	fit_mean≥4 (4.44), IQR≤1 (1.00), clarity≥4 (4.89); redundant vs IT31
IT33	Mi dice che, se lo lasciassi, rivelerebbe ad altri dei miei segreti o delle cose molto personali che sa di me	Abuso Emotivo e Psicologico (Svalutazione, Critica, Umiliazione)	3.889	4.889	0.0	0.0	Retain	fallback to majority recommendation
IT34	Minaccia di fare del male a me, ai miei amici o alla mia famiglia	Violenza Fisica, Minacce e Intimidazione	5.0	4.889	0.0	0.222	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89)
IT35	Minaccia di farsi del male a causa mia	Violenza Fisica, Minacce e Intimidazione	4.111	4.889	0.0	0.111	Drop	fit_mean≥4 (4.11), IQR≤1 (0.00), clarity≥4 (4.89); redundant vs IT34
IT36	Minacce di distruggere le mie cose (telefono, vestiti, computer, auto, ecc.)	Violenza Fisica, Minacce e Intimidazione	4.222	5.0	0.0	0.333	Drop	fit_mean≥4 (4.22), IQR≤1 (0.00), clarity≥4 (5.00); redundant vs IT39
IT37	Mi afferra per i capelli, mi strattona, mi mette le mani al collo, tenta di soffocarmi, mi dà dei pugni, mi schiaffeggia, mi getta addosso degli oggetti o mi fa male in qualche modo	Violenza Fisica, Minacce e Intimidazione	5.0	5.0	0.0	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT38	Dopo che mi ha aggredito (fisicamente o verbalmente) nega di averlo fatto e mi fa dubitare che sia realmente successo.	Manipolazione Emotiva, Gaslighting e Incertezza	5.0	5.0	0.0	0.0	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (5.00)
IT39	Rompe e getta oggetti per intimidirmi	Violenza Fisica, Minacce e Intimidazione	4.667	5.0	1.0	0.0	Retain	fit_mean≥4 (4.67), IQR≤1 (1.00), clarity≥4 (5.00)
IT40	Urla o mi umilia di fronte ad altre persone	Abuso Emotivo e Psicologico (Svalutazione, Critica, Umiliazione)	4.889	5.0	0.0	0.111	Retain	fit_mean≥4 (4.89), IQR≤1 (0.00), clarity≥4 (5.00)
IT41	Mi chiede insistentemente di fare sesso e non accetta quando dico di no o che non mi va	Violenza Fisica, Minacce e Intimidazione	4.778	4.889	0.0	0.0	Retain	fit_mean≥4 (4.78), IQR≤1 (0.00), clarity≥4 (4.89)
IT43	Sento di potergli parlare di qualsiasi cosa	Supporto, Sicurezza e Autonomia nella Relazione (Dinamiche Sane)	5.0	4.889	0.0	0.333	Retain	fit_mean≥4 (5.00), IQR≤1 (0.00), clarity≥4 (4.89)
